,"Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123+ (Basophils) ***/Phen Axl+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123+ (Basophils) ***/Phen BTLA+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123+ (Basophils) ***/Phen CD11b+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123+ (Basophils) ***/Phen CD16+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123+ (Basophils) ***/Phen CD32+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123+ (Basophils) ***/Phen CD38+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123+ (Basophils) ***/Phen CD40+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123+ (Basophils) ***/Phen CD68+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123+ (Basophils) ***/Phen CD80+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123+ (Basophils) ***/Phen CD85k+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123+ (Basophils) ***/Phen CD86+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123+ (Basophils) ***/Phen CD163+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123+ (Basophils) ***/Phen CD206+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123+ (Basophils) ***/Phen CX3CR1+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123+ (Basophils) ***/Phen PDL1+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123+ (Basophils) ***/Phen PDL2+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123+ (Basophils) ***/Phen Sirpa+ | Freq. of Parent (%)",
2024-11-14_SAC253053.fcs,0.098,0,99.6,0.49,81.5,100,0,22.2,0,0.098,0.098,0.098,0.59,0.39,0,0.098,0,
2024-11-14_Tasso ID 05 Tasso WB SH.fcs,0,0,100,0,69.0,100,0,57.1,0,0,0,0,0,0,0,2.38,0,
2024-11-14_Tasso ID 05 Tasso WB.fcs,0,0.66,99.3,7.95,80.1,99.3,0,31.8,0,1.99,0.66,0,1.32,0,0,2.65,0,
2024-11-14_Tasso ID 05 Vein PBMC.fcs,0,0,99.8,1.77,82.9,99.8,0.16,35.3,0,1.45,0.40,0.080,2.89,0.32,0.080,3.45,0,
2024-11-14_Tasso ID 05 Vein WB.fcs,0,0,98.8,2.40,79.6,100,0,33.2,0,1.20,0.80,0,2.00,0.40,0,2.00,0,
2024-11-14_Tasso ID 07 Tasso WB SH.fcs,0,0,97.6,2.92,70.0,99.9,0,53.6,0,0.14,0.42,0,1.67,0,0,0.14,0,
2024-11-14_Tasso ID 07 Tasso WB.fcs,0,0,99.3,0.91,65.2,99.9,0,49.4,0,0.52,0.78,0,1.83,0.65,0,0.52,0,
2024-11-14_Tasso ID 07 Vein PBMC.fcs,0,0,99.8,0.19,79.2,99.9,0.39,47.3,0,0.39,0.87,0,0.87,0.29,0,1.93,0,
2024-11-14_Tasso ID 07 Vein WB.fcs,0,0,99.9,0.97,68.6,100,0.12,55.2,0,0.12,0.24,0,1.09,0,0,0.36,0,
2024-11-14_Tasso ID 12 Tasso WB SH.fcs,0,0,99.2,3.97,84.9,100,0,34.1,0,0,0,0,2.38,0,0,3.97,0,
2024-11-14_Tasso ID 12 Tasso WB.fcs,0,0,96.0,1.61,69.4,100,0,33.1,0,7.26,0,0,1.61,0,0,0,0,
2024-11-14_Tasso ID 12 Vein PBMC.fcs,0,22.9,76.5,1.18,66.5,95.3,0.59,38.8,0,24.7,1.18,0,1.76,1.18,0,1.76,0.59,
2024-11-14_Tasso ID 12 Vein WB.fcs,0,0.42,94.2,0.42,77.1,98.8,0.42,37.9,0,5.83,0,0,3.33,0,0.42,0.42,0.42,
2024-11-14_Tasso ID 17 Tasso WB SH.fcs,0,0,99.1,1.72,99.1,100,0,73.3,0,3.45,0,0,1.72,0,0,6.03,0,
2024-11-14_Tasso ID 17 Tasso WB.fcs,0,0,98.0,3.06,99.0,100,0,66.3,0,1.02,0,0,0,0,0,1.02,0,
2024-11-14_Tasso ID 17 Vein PBMC.fcs,0,0,99.9,0.21,98.4,100.0,0,48.1,0,0.34,0.34,0.043,1.28,0.13,0.043,1.24,0,
2024-11-14_Tasso ID 17 Vein WB.fcs,0,0,99.8,1.75,100,100,0.50,61.1,0,0.50,0.75,0,1.25,0,0,0.75,0,
2024-11-14_Tasso ID 18 Tasso WB SH.fcs,0,0,98.6,2.70,33.8,97.3,0,50.0,0,1.35,0,0,0,0,0,1.35,0,
2024-11-14_Tasso ID 18 Tasso WB.fcs,0,0,99.3,5.41,37.2,100,0,21.6,0,0.68,0,0,0.68,0,0,1.35,0,
2024-11-14_Tasso ID 18 Vein PBMC.fcs,0,0,99.1,0.60,54.3,100,0.30,21.2,0,0.30,0.30,0,0.60,0.90,0.30,1.79,0,
2024-11-14_Tasso ID 18 Vein WB.fcs,0,0,99.4,2.00,58.0,99.7,0,17.7,0,0.86,0,0,2.00,0,0,0,0,
2024-11-14_Tasso ID 19 Tasso WB SH.fcs,0,0,96.9,4.12,75.3,100,0,70.1,0,0,0,2.06,1.03,0,0,2.06,0,
2024-11-14_Tasso ID 19 Tasso WB.fcs,0,0,100,5.70,77.7,100,0,62.2,0,0.52,0,1.04,1.55,0,0,0,0,
2024-11-14_Tasso ID 19 Vein PBMC.fcs,0,0,99.4,0.79,81.7,99.8,0,57.2,0,0.66,0.26,0,1.25,0.33,0.13,1.05,0,
2024-11-14_Tasso ID 19 Vein WB.fcs,0,0,99.6,0.74,74.5,99.7,0,46.0,0,0.15,0,0.15,1.34,0.30,0,0,0,
2024-11-14_Tasso ID 20 Tasso WB SH.fcs,0,0,100,1.00,46.0,100,1.00,79.0,0,7.00,0,0,0,0,0,4.00,0,
2024-11-14_Tasso ID 20 Tasso WB.fcs,0,0,100,1.15,50.4,100,0.38,60.4,0,1.54,0.77,0,0.77,0,0,2.69,0,
2024-11-14_Tasso ID 20 Vein PBMC.fcs,0,0,99.6,1.33,76.8,100.0,0.15,43.7,0,1.13,1.43,0,0.74,0.44,0,1.38,0,
2024-11-14_Tasso ID 20 Vein WB.fcs,0,0.21,98.9,6.09,70.4,100,0.42,47.5,0,2.52,1.47,0,1.05,0,0,1.26,0,
2024-11-14_Tasso ID 21 Tasso WB SH.fcs,0,0,97.5,6.83,65.8,99.4,0,19.3,0,0.62,0.62,0,3.73,0.62,0,0,0.62,
2024-11-14_Tasso ID 21 Tasso WB.fcs,0,0,99.6,3.43,69.1,100,0,21.5,0,1.72,0.43,0,1.72,0.43,0.43,0.43,0,
2024-11-14_Tasso ID 21 Vein PBMC.fcs,0,0,99.6,0.75,81.3,100,0.37,25.7,0,1.49,0.75,0,0,0.75,0,1.87,0,
2024-11-14_Tasso ID 21 Vein WB.fcs,0,0,99.7,2.71,65.7,100,0,16.0,0,0.60,0.60,0,2.11,0.30,0,0,0,
